"","id_men","id_pers","id_depl","heuredep","mindep","heurearr","minarr","D12","motifor","NB_velo","VP_DISPO","duree","motifor1","deptime","arrtime","midtime","heuremid","nb_veh","cluster","rhour"
"20745",502084,502084003,5020840031,7,40,7,50,2126,1,3,2,10,"DOM",2024-02-01 07:40:00,2024-02-01 07:50:00,2024-02-01 07:45:00,7,5,"2",1
"20746",502084,502084003,5020840032,10,0,10,5,2340,23,3,2,5,"LYC",2024-02-01 10:00:00,2024-02-01 10:05:00,2024-02-01 10:02:30,10,5,"2",0
"20747",502084,502084003,5020840033,18,30,18,40,1668,54,3,2,10,"LEI",2024-02-01 18:30:00,2024-02-01 18:40:00,2024-02-01 18:35:00,18,5,"2",1
"20748",502086,502086002,5020860021,9,40,9,48,1429,1,0,1,8,"DOM",2024-02-01 09:40:00,2024-02-01 09:48:00,2024-02-01 09:44:00,9,1,"3",1
"20749",502086,502086002,5020860022,12,0,12,5,1429,12,0,1,5,"TRA",2024-02-01 12:00:00,2024-02-01 12:05:00,2024-02-01 12:02:30,12,1,"3",0
"20750",502086,502086002,5020860023,13,45,13,50,1429,1,0,1,5,"DOM",2024-02-01 13:45:00,2024-02-01 13:50:00,2024-02-01 13:47:30,13,1,"3",0
"20751",502086,502086002,5020860024,16,0,16,5,1429,12,0,1,5,"TRA",2024-02-01 16:00:00,2024-02-01 16:05:00,2024-02-01 16:02:30,16,1,"3",1
"20752",502095,502095001,5020950011,6,0,6,30,1739,1,2,1,30,"DOM",2024-02-01 06:00:00,2024-02-01 06:30:00,2024-02-01 06:15:00,6,3,"1",0
"20753",502095,502095001,5020950012,6,30,7,0,1739,52,2,1,30,"LEI",2024-02-01 06:30:00,2024-02-01 07:00:00,2024-02-01 06:45:00,6,3,"1",0
"20754",502095,502095001,5020950013,9,0,9,10,579,1,2,1,10,"DOM",2024-02-01 09:00:00,2024-02-01 09:10:00,2024-02-01 09:05:00,9,3,"1",1
"20755",502095,502095001,5020950014,9,25,9,35,579,32,2,1,10,"SHO",2024-02-01 09:25:00,2024-02-01 09:35:00,2024-02-01 09:30:00,9,3,"1",1
"20756",502095,502095001,5020950015,15,0,15,10,3808,1,2,1,10,"DOM",2024-02-01 15:00:00,2024-02-01 15:10:00,2024-02-01 15:05:00,15,3,"1",0
"20757",502095,502095001,5020950016,15,40,15,50,3808,32,2,1,10,"SHO",2024-02-01 15:40:00,2024-02-01 15:50:00,2024-02-01 15:45:00,15,3,"1",0
"20758",502095,502095001,5020950017,15,55,16,5,579,1,2,1,10,"DOM",2024-02-01 15:55:00,2024-02-01 16:05:00,2024-02-01 16:00:00,16,3,"1",1
"20759",502095,502095001,5020950018,16,10,16,20,579,33,2,1,10,"SHO",2024-02-01 16:10:00,2024-02-01 16:20:00,2024-02-01 16:15:00,16,3,"1",1
"20760",502095,502095002,5020950021,15,0,15,10,3808,1,2,1,10,"DOM",2024-02-01 15:00:00,2024-02-01 15:10:00,2024-02-01 15:05:00,15,3,"1",0
"20761",502095,502095002,5020950022,15,40,15,50,3808,32,2,1,10,"SHO",2024-02-01 15:40:00,2024-02-01 15:50:00,2024-02-01 15:45:00,15,3,"1",0
"20762",503006,503006001,5030060011,10,30,10,50,1159,1,0,0,20,"DOM",2024-02-01 10:30:00,2024-02-01 10:50:00,2024-02-01 10:40:00,10,0,"3",0
"20763",503006,503006001,5030060012,11,0,11,30,1739,33,0,0,30,"SHO",2024-02-01 11:00:00,2024-02-01 11:30:00,2024-02-01 11:15:00,11,0,"3",0
"20764",503006,503006001,5030060013,11,30,12,0,1739,52,0,0,30,"LEI",2024-02-01 11:30:00,2024-02-01 12:00:00,2024-02-01 11:45:00,11,0,"3",0
"20765",503006,503006002,5030060021,7,30,7,50,1159,1,0,0,20,"DOM",2024-02-01 07:30:00,2024-02-01 07:50:00,2024-02-01 07:40:00,7,0,"3",1
